date_id,monitoring_date,year,month,quarter,month_name,day_of_week,week_number
DT0040,2023-04-10,2023,4,2,April,Monday,15
DT0041,2024-01-03,2024,1,1,January,Wednesday,1
DT0042,2023-12-19,2023,12,4,December,Tuesday,51
DT0043,2024-09-10,2024,9,3,September,Tuesday,37
DT0044,2023-09-28,2023,9,3,September,Thursday,39
DT0045,2023-02-14,2023,2,1,February,Tuesday,7
DT0046,2024-04-15,2024,4,2,April,Monday,16
DT0047,2024-07-03,2024,7,3,July,Wednesday,27
DT0048,2023-05-08,2023,5,2,May,Monday,19
DT0049,2024-01-23,2024,1,1,January,Tuesday,4
DT0050,2023-03-22,2023,3,1,March,Wednesday,12
DT0051,2024-07-19,2024,7,3,July,Friday,29
DT0052,2023-10-28,2023,10,4,October,Saturday,43
DT0053,2024-10-05,2024,10,4,October,Saturday,40
DT0054,2024-09-25,2024,9,3,September,Wednesday,39
DT0055,2024-01-06,2024,1,1,January,Saturday,1
DT0056,2024-08-14,2024,8,3,August,Wednesday,33
DT0057,2023-07-16,2023,7,3,July,Sunday,28
DT0058,2024-12-22,2024,12,4,December,Sunday,51
DT0059,2023-03-13,2023,3,1,March,Monday,11
DT0060,2023-02-16,2023,2,1,February,Thursday,7
DT0061,2024-11-08,2024,11,4,November,Friday,45
DT0062,2023-08-22,2023,8,3,August,Tuesday,34
DT0063,2023-10-24,2023,10,4,October,Tuesday,43
DT0064,2023-03-23,2023,3,1,March,Thursday,12
DT0065,2023-04-14,2023,4,2,April,Friday,15
DT0066,2024-04-09,2024,4,2,April,Tuesday,15
DT0067,2024-10-12,2024,10,4,October,Saturday,41
DT0068,2024-01-09,2024,1,1,January,Tuesday,2
DT0069,2023-06-16,2023,6,2,June,Friday,24
DT0070,2024-01-15,2024,1,1,January,Monday,3
DT0071,2023-12-30,2023,12,4,December,Saturday,52
DT0072,2023-08-03,2023,8,3,August,Thursday,31
DT0073,2024-11-17,2024,11,4,November,Sunday,46
DT0074,2023-10-01,2023,10,4,October,Sunday,39
DT0075,2024-11-30,2024,11,4,November,Saturday,48
DT0076,2024-10-25,2024,10,4,October,Friday,43
DT0077,2023-03-15,2023,3,1,March,Wednesday,11
DT0078,2024-09-15,2024,9,3,September,Sunday,37
DT0079,2023-06-25,2023,6,2,June,Sunday,25
DT0080,2024-06-30,2024,6,2,June,Sunday,26
DT0081,2023-06-17,2023,6,2,June,Saturday,24
DT0082,2024-04-18,2024,4,2,April,Thursday,16
DT0083,2024-01-24,2024,1,1,January,Wednesday,4
DT0084,2023-10-04,2023,10,4,October,Wednesday,40
DT0085,2024-10-17,2024,10,4,October,Thursday,42
DT0086,2024-12-05,2024,12,4,December,Thursday,49
DT0087,2024-07-24,2024,7,3,July,Wednesday,30
DT0088,2023-08-13,2023,8,3,August,Sunday,32
DT0089,2024-12-02,2024,12,4,December,Monday,49
DT0090,2023-11-29,2023,11,4,November,Wednesday,48
DT0091,2023-02-27,2023,2,1,February,Monday,9
DT0092,2023-08-23,2023,8,3,August,Wednesday,34
DT0093,2023-11-20,2023,11,4,November,Monday,47
DT0094,2024-02-15,2024,2,1,February,Thursday,7
DT0095,2023-10-02,2023,10,4,October,Monday,40
DT0096,2023-03-09,2023,3,1,March,Thursday,10
DT0097,2023-08-05,2023,8,3,August,Saturday,31
DT0098,2024-08-03,2024,8,3,August,Saturday,31
DT0099,2023-11-19,2023,11,4,November,Sunday,46
DT0100,2023-08-06,2023,8,3,August,Sunday,31
DT0101,2024-11-02,2024,11,4,November,Saturday,44
DT0102,2024-05-26,2024,5,2,May,Sunday,21
DT0103,2024-02-10,2024,2,1,February,Saturday,6
DT0104,2024-10-20,2024,10,4,October,Sunday,42
DT0105,2024-04-14,2024,4,2,April,Sunday,15
DT0106,2023-05-27,2023,5,2,May,Saturday,21
DT0107,2023-09-29,2023,9,3,September,Friday,39
DT0108,2023-09-10,2023,9,3,September,Sunday,36
DT0109,2024-07-05,2024,7,3,July,Friday,27
DT0110,2023-09-27,2023,9,3,September,Wednesday,39
DT0111,2024-08-21,2024,8,3,August,Wednesday,34
DT0112,2024-03-14,2024,3,1,March,Thursday,11
DT0113,2024-08-20,2024,8,3,August,Tuesday,34
DT0114,2024-02-13,2024,2,1,February,Tuesday,7
DT0115,2023-05-22,2023,5,2,May,Monday,21
DT0116,2024-06-05,2024,6,2,June,Wednesday,23
DT0117,2024-05-20,2024,5,2,May,Monday,21
DT0118,2023-04-04,2023,4,2,April,Tuesday,14
DT0119,2023-02-18,2023,2,1,February,Saturday,7
DT0120,2023-04-23,2023,4,2,April,Sunday,16
DT0121,2023-06-06,2023,6,2,June,Tuesday,23
DT0122,2024-10-04,2024,10,4,October,Friday,40
DT0123,2024-11-27,2024,11,4,November,Wednesday,48
DT0124,2024-09-02,2024,9,3,September,Monday,36
DT0125,2023-03-07,2023,3,1,March,Tuesday,10
DT0126,2024-01-30,2024,1,1,January,Tuesday,5
DT0127,2024-01-26,2024,1,1,January,Friday,4
DT0128,2024-04-24,2024,4,2,April,Wednesday,17
DT0129,2024-06-25,2024,6,2,June,Tuesday,26
DT0130,2023-09-15,2023,9,3,September,Friday,37
DT0131,2024-07-20,2024,7,3,July,Saturday,29
DT0132,2023-01-12,2023,1,1,January,Thursday,2
DT0133,2023-04-28,2023,4,2,April,Friday,17
DT0134,2024-11-29,2024,11,4,November,Friday,48
DT0135,2024-10-18,2024,10,4,October,Friday,42
DT0136,2024-03-21,2024,3,1,March,Thursday,12
DT0137,2023-06-11,2023,6,2,June,Sunday,23
DT0138,2023-01-04,2023,1,1,January,Wednesday,1
DT0139,2024-05-27,2024,5,2,May,Monday,22
DT0140,2023-07-02,2023,7,3,July,Sunday,26
DT0141,2024-06-03,2024,6,2,June,Monday,23
DT0142,2023-04-19,2023,4,2,April,Wednesday,16
DT0143,2024-10-02,2024,10,4,October,Wednesday,40
DT0144,2023-11-02,2023,11,4,November,Thursday,44
DT0145,2024-01-18,2024,1,1,January,Thursday,3
DT0146,2023-06-15,2023,6,2,June,Thursday,24
DT0147,2024-07-06,2024,7,3,July,Saturday,27
DT0148,2024-06-27,2024,6,2,June,Thursday,26
DT0149,2023-01-01,2023,1,1,January,Sunday,52
DT0150,2024-09-05,2024,9,3,September,Thursday,36
DT0151,2023-11-28,2023,11,4,November,Tuesday,48
DT0152,2024-05-15,2024,5,2,May,Wednesday,20
DT0153,2023-01-20,2023,1,1,January,Friday,3
DT0154,2024-01-07,2024,1,1,January,Sunday,1
DT0155,2023-11-11,2023,11,4,November,Saturday,45
DT0156,2023-09-03,2023,9,3,September,Sunday,35
DT0157,2023-03-01,2023,3,1,March,Wednesday,9
DT0158,2023-09-04,2023,9,3,September,Monday,36
DT0159,2023-03-29,2023,3,1,March,Wednesday,13
DT0160,2024-05-12,2024,5,2,May,Sunday,19
DT0161,2023-03-12,2023,3,1,March,Sunday,10
DT0162,2024-06-29,2024,6,2,June,Saturday,26
DT0163,2023-05-09,2023,5,2,May,Tuesday,19
DT0164,2023-05-12,2023,5,2,May,Friday,19
DT0165,2024-11-06,2024,11,4,November,Wednesday,45
DT0166,2024-05-01,2024,5,2,May,Wednesday,18
DT0167,2024-07-16,2024,7,3,July,Tuesday,29
DT0168,2023-06-19,2023,6,2,June,Monday,25
DT0169,2024-06-24,2024,6,2,June,Monday,26
DT0170,2024-09-13,2024,9,3,September,Friday,37
DT0171,2024-03-09,2024,3,1,March,Saturday,10
DT0172,2024-12-07,2024,12,4,December,Saturday,49
DT0173,2023-07-25,2023,7,3,July,Tuesday,30
DT0174,2024-12-31,2024,12,4,December,Tuesday,1
DT0175,2023-11-16,2023,11,4,November,Thursday,46
DT0176,2024-11-18,2024,11,4,November,Monday,47
DT0177,2024-03-24,2024,3,1,March,Sunday,12
DT0178,2024-06-13,2024,6,2,June,Thursday,24
DT0179,2024-04-07,2024,4,2,April,Sunday,14
DT0180,2023-05-04,2023,5,2,May,Thursday,18
DT0181,2023-09-11,2023,9,3,September,Monday,37
DT0182,2023-08-19,2023,8,3,August,Saturday,33
DT0183,2023-12-13,2023,12,4,December,Wednesday,50
DT0184,2023-01-22,2023,1,1,January,Sunday,3
DT0185,2024-08-25,2024,8,3,August,Sunday,34
DT0186,2024-07-21,2024,7,3,July,Sunday,29
DT0187,2023-08-24,2023,8,3,August,Thursday,34
DT0188,2023-01-08,2023,1,1,January,Sunday,1
DT0189,2023-03-14,2023,3,1,March,Tuesday,11
DT0190,2024-12-25,2024,12,4,December,Wednesday,52
DT0191,2024-10-08,2024,10,4,October,Tuesday,41
DT0192,2023-03-02,2023,3,1,March,Thursday,9
DT0193,2023-03-11,2023,3,1,March,Saturday,10
DT0194,2023-12-05,2023,12,4,December,Tuesday,49
DT0195,2024-06-10,2024,6,2,June,Monday,24
DT0196,2023-09-01,2023,9,3,September,Friday,35
DT0197,2023-10-13,2023,10,4,October,Friday,41
DT0198,2024-11-16,2024,11,4,November,Saturday,46
DT0199,2023-08-08,2023,8,3,August,Tuesday,32
DT0200,2023-05-16,2023,5,2,May,Tuesday,20
DT0201,2024-08-07,2024,8,3,August,Wednesday,32
DT0202,2024-08-13,2024,8,3,August,Tuesday,33
DT0203,2024-04-29,2024,4,2,April,Monday,18
DT0204,2023-09-06,2023,9,3,September,Wednesday,36
DT0205,2024-02-21,2024,2,1,February,Wednesday,8
DT0206,2023-07-14,2023,7,3,July,Friday,28
DT0207,2023-04-07,2023,4,2,April,Friday,14
DT0208,2024-11-05,2024,11,4,November,Tuesday,45
DT0209,2024-03-17,2024,3,1,March,Sunday,11
DT0210,2023-12-29,2023,12,4,December,Friday,52
DT0211,2024-02-25,2024,2,1,February,Sunday,8
DT0212,2024-04-23,2024,4,2,April,Tuesday,17
DT0213,2023-02-25,2023,2,1,February,Saturday,8
DT0214,2024-11-20,2024,11,4,November,Wednesday,47
DT0215,2024-10-31,2024,10,4,October,Thursday,44
DT0216,2024-10-23,2024,10,4,October,Wednesday,43
DT0217,2023-04-11,2023,4,2,April,Tuesday,15
DT0218,2023-03-04,2023,3,1,March,Saturday,9
DT0219,2024-02-17,2024,2,1,February,Saturday,7
DT0220,2023-12-14,2023,12,4,December,Thursday,50
DT0221,2023-04-22,2023,4,2,April,Saturday,16
DT0222,2023-09-12,2023,9,3,September,Tuesday,37
DT0223,2023-05-24,2023,5,2,May,Wednesday,21
DT0224,2023-07-07,2023,7,3,July,Friday,27
DT0225,2023-09-13,2023,9,3,September,Wednesday,37
DT0226,2023-03-19,2023,3,1,March,Sunday,11
DT0227,2024-03-29,2024,3,1,March,Friday,13
DT0228,2024-07-17,2024,7,3,July,Wednesday,29
DT0229,2023-02-21,2023,2,1,February,Tuesday,8
DT0230,2024-10-29,2024,10,4,October,Tuesday,44
DT0231,2024-07-07,2024,7,3,July,Sunday,27
DT0232,2023-01-16,2023,1,1,January,Monday,3
DT0233,2023-08-31,2023,8,3,August,Thursday,35
DT0234,2023-06-20,2023,6,2,June,Tuesday,25
DT0235,2024-05-07,2024,5,2,May,Tuesday,19
DT0236,2023-08-07,2023,8,3,August,Monday,32
DT0237,2023-06-18,2023,6,2,June,Sunday,24
DT0238,2023-01-03,2023,1,1,January,Tuesday,1
DT0239,2024-02-04,2024,2,1,February,Sunday,5
DT0240,2024-04-10,2024,4,2,April,Wednesday,15
DT0241,2023-10-20,2023,10,4,October,Friday,42
DT0242,2024-12-14,2024,12,4,December,Saturday,50
DT0243,2024-07-23,2024,7,3,July,Tuesday,30
DT0244,2024-05-13,2024,5,2,May,Monday,20
DT0245,2023-06-08,2023,6,2,June,Thursday,23
DT0246,2023-10-31,2023,10,4,October,Tuesday,44
DT0247,2023-08-11,2023,8,3,August,Friday,32
DT0248,2024-08-16,2024,8,3,August,Friday,33
DT0249,2024-07-09,2024,7,3,July,Tuesday,28
DT0250,2023-11-18,2023,11,4,November,Saturday,46
DT0251,2023-02-28,2023,2,1,February,Tuesday,9
DT0252,2024-05-03,2024,5,2,May,Friday,18
DT0253,2024-05-29,2024,5,2,May,Wednesday,22
DT0254,2024-06-04,2024,6,2,June,Tuesday,23
DT0255,2023-03-24,2023,3,1,March,Friday,12
DT0256,2023-07-10,2023,7,3,July,Monday,28
DT0257,2024-09-01,2024,9,3,September,Sunday,35
DT0258,2024-11-22,2024,11,4,November,Friday,47
DT0259,2023-08-29,2023,8,3,August,Tuesday,35
DT0260,2024-02-18,2024,2,1,February,Sunday,7
DT0261,2023-05-03,2023,5,2,May,Wednesday,18
DT0262,2024-08-06,2024,8,3,August,Tuesday,32
DT0263,2024-08-15,2024,8,3,August,Thursday,33
DT0264,2024-08-31,2024,8,3,August,Saturday,35
DT0265,2023-02-10,2023,2,1,February,Friday,6
DT0266,2024-09-26,2024,9,3,September,Thursday,39
DT0267,2023-03-25,2023,3,1,March,Saturday,12
DT0268,2024-11-04,2024,11,4,November,Monday,45
DT0269,2024-08-01,2024,8,3,August,Thursday,31
DT0270,2024-06-19,2024,6,2,June,Wednesday,25
DT0271,2023-09-25,2023,9,3,September,Monday,39
DT0272,2023-07-29,2023,7,3,July,Saturday,30
DT0273,2023-09-02,2023,9,3,September,Saturday,35
DT0274,2023-05-15,2023,5,2,May,Monday,20
DT0275,2024-10-22,2024,10,4,October,Tuesday,43
DT0276,2023-11-04,2023,11,4,November,Saturday,44
DT0277,2024-04-13,2024,4,2,April,Saturday,15
DT0278,2023-03-16,2023,3,1,March,Thursday,11
DT0279,2023-01-10,2023,1,1,January,Tuesday,2
DT0280,2024-09-28,2024,9,3,September,Saturday,39
DT0281,2024-07-30,2024,7,3,July,Tuesday,31
DT0282,2023-04-13,2023,4,2,April,Thursday,15
DT0283,2023-03-17,2023,3,1,March,Friday,11
DT0284,2024-07-04,2024,7,3,July,Thursday,27
DT0285,2024-06-02,2024,6,2,June,Sunday,22
DT0286,2023-12-24,2023,12,4,December,Sunday,51
DT0287,2024-01-14,2024,1,1,January,Sunday,2
DT0288,2023-10-19,2023,10,4,October,Thursday,42
DT0289,2024-07-10,2024,7,3,July,Wednesday,28
DT0290,2024-12-21,2024,12,4,December,Saturday,51
DT0291,2023-11-06,2023,11,4,November,Monday,45
DT0292,2024-09-18,2024,9,3,September,Wednesday,38
DT0293,2023-01-09,2023,1,1,January,Monday,2
DT0294,2024-11-14,2024,11,4,November,Thursday,46
DT0295,2023-11-03,2023,11,4,November,Friday,44
DT0296,2024-11-10,2024,11,4,November,Sunday,45
DT0297,2023-04-17,2023,4,2,April,Monday,16
DT0298,2023-05-18,2023,5,2,May,Thursday,20
DT0299,2023-04-29,2023,4,2,April,Saturday,17
DT0300,2023-04-20,2023,4,2,April,Thursday,16
DT0301,2023-10-06,2023,10,4,October,Friday,40
DT0302,2023-10-16,2023,10,4,October,Monday,42
DT0303,2024-09-11,2024,9,3,September,Wednesday,37
DT0304,2023-08-04,2023,8,3,August,Friday,31
DT0305,2023-12-18,2023,12,4,December,Monday,51
DT0306,2023-07-28,2023,7,3,July,Friday,30
DT0307,2024-12-04,2024,12,4,December,Wednesday,49
DT0308,2024-10-11,2024,10,4,October,Friday,41
DT0309,2023-02-22,2023,2,1,February,Wednesday,8
DT0310,2023-10-11,2023,10,4,October,Wednesday,41
DT0311,2023-02-15,2023,2,1,February,Wednesday,7
DT0312,2023-12-08,2023,12,4,December,Friday,49
DT0313,2023-05-14,2023,5,2,May,Sunday,19
DT0314,2024-10-14,2024,10,4,October,Monday,42
DT0315,2023-09-26,2023,9,3,September,Tuesday,39
DT0316,2024-03-28,2024,3,1,March,Thursday,13
DT0317,2024-07-18,2024,7,3,July,Thursday,29
DT0318,2024-12-23,2024,12,4,December,Monday,52
DT0319,2024-03-13,2024,3,1,March,Wednesday,11
DT0320,2024-12-08,2024,12,4,December,Sunday,49
DT0321,2023-06-02,2023,6,2,June,Friday,22
DT0322,2023-02-06,2023,2,1,February,Monday,6
DT0323,2024-08-19,2024,8,3,August,Monday,34
DT0324,2023-06-01,2023,6,2,June,Thursday,22
DT0325,2024-03-16,2024,3,1,March,Saturday,11
DT0326,2023-05-11,2023,5,2,May,Thursday,19
DT0327,2023-02-12,2023,2,1,February,Sunday,6
DT0328,2023-11-12,2023,11,4,November,Sunday,45
DT0329,2024-01-02,2024,1,1,January,Tuesday,1
DT0330,2024-11-13,2024,11,4,November,Wednesday,46
DT0331,2023-04-16,2023,4,2,April,Sunday,15
DT0332,2024-07-27,2024,7,3,July,Saturday,30
DT0333,2024-09-27,2024,9,3,September,Friday,39
DT0334,2023-07-01,2023,7,3,July,Saturday,26
DT0335,2024-02-27,2024,2,1,February,Tuesday,9
DT0336,2023-07-03,2023,7,3,July,Monday,27
DT0337,2023-12-07,2023,12,4,December,Thursday,49
DT0338,2024-02-26,2024,2,1,February,Monday,9
DT0339,2023-04-21,2023,4,2,April,Friday,16
DT0340,2024-01-27,2024,1,1,January,Saturday,4
DT0341,2023-02-09,2023,2,1,February,Thursday,6
DT0342,2024-04-26,2024,4,2,April,Friday,17
DT0343,2023-08-16,2023,8,3,August,Wednesday,33
DT0344,2023-07-24,2023,7,3,July,Monday,30
DT0345,2024-04-16,2024,4,2,April,Tuesday,16
DT0346,2023-12-25,2023,12,4,December,Monday,52
DT0347,2023-11-09,2023,11,4,November,Thursday,45
DT0348,2023-01-25,2023,1,1,January,Wednesday,4
DT0349,2023-07-17,2023,7,3,July,Monday,29
DT0350,2023-12-03,2023,12,4,December,Sunday,48
DT0351,2023-12-26,2023,12,4,December,Tuesday,52
DT0352,2024-02-14,2024,2,1,February,Wednesday,7
DT0353,2024-11-26,2024,11,4,November,Tuesday,48
DT0354,2023-12-06,2023,12,4,December,Wednesday,49
DT0355,2023-01-29,2023,1,1,January,Sunday,4
DT0356,2024-08-17,2024,8,3,August,Saturday,33
DT0357,2024-03-20,2024,3,1,March,Wednesday,12
DT0358,2023-12-20,2023,12,4,December,Wednesday,51
DT0359,2024-03-22,2024,3,1,March,Friday,12
DT0360,2024-09-12,2024,9,3,September,Thursday,37
DT0361,2024-06-07,2024,6,2,June,Friday,23
DT0362,2023-09-18,2023,9,3,September,Monday,38
DT0363,2024-12-26,2024,12,4,December,Thursday,52
DT0364,2023-01-02,2023,1,1,January,Monday,1
DT0365,2024-06-16,2024,6,2,June,Sunday,24
DT0366,2023-07-21,2023,7,3,July,Friday,29
DT0367,2024-01-08,2024,1,1,January,Monday,2
DT0368,2024-11-11,2024,11,4,November,Monday,46
DT0369,2024-09-30,2024,9,3,September,Monday,40
DT0370,2023-11-13,2023,11,4,November,Monday,46
DT0371,2024-02-23,2024,2,1,February,Friday,8
DT0372,2023-12-01,2023,12,4,December,Friday,48
DT0373,2023-10-30,2023,10,4,October,Monday,44
DT0374,2024-03-06,2024,3,1,March,Wednesday,10
DT0375,2024-11-24,2024,11,4,November,Sunday,47
DT0376,2023-06-28,2023,6,2,June,Wednesday,26
DT0377,2024-09-22,2024,9,3,September,Sunday,38
DT0378,2024-08-05,2024,8,3,August,Monday,32
DT0379,2023-11-05,2023,11,4,November,Sunday,44
DT0380,2024-02-20,2024,2,1,February,Tuesday,8
DT0381,2024-07-15,2024,7,3,July,Monday,29
DT0382,2023-11-08,2023,11,4,November,Wednesday,45
DT0383,2023-10-21,2023,10,4,October,Saturday,42
DT0384,2024-11-01,2024,11,4,November,Friday,44
DT0385,2023-11-26,2023,11,4,November,Sunday,47
DT0386,2024-04-21,2024,4,2,April,Sunday,16
DT0387,2023-06-23,2023,6,2,June,Friday,25
DT0388,2023-03-28,2023,3,1,March,Tuesday,13
DT0389,2023-10-18,2023,10,4,October,Wednesday,42
DT0390,2024-06-11,2024,6,2,June,Tuesday,24
DT0391,2024-10-10,2024,10,4,October,Thursday,41
DT0392,2023-12-10,2023,12,4,December,Sunday,49
DT0393,2024-11-19,2024,11,4,November,Tuesday,47
DT0394,2023-11-14,2023,11,4,November,Tuesday,46
DT0395,2023-05-31,2023,5,2,May,Wednesday,22
DT0396,2023-02-17,2023,2,1,February,Friday,7
DT0397,2024-09-17,2024,9,3,September,Tuesday,38
DT0398,2024-04-11,2024,4,2,April,Thursday,15
DT0399,2024-02-29,2024,2,1,February,Thursday,9
DT0400,2024-10-06,2024,10,4,October,Sunday,40
DT0401,2024-08-12,2024,8,3,August,Monday,33
